Country,Indicator,latest_value
Morocco,Multidimensional Poverty Index,0.03
Morocco,Inequality-adjusted Human Development Index,0.51
Morocco,Government Spending,68.2
Morocco,Fiscal Health,29.9
Morocco,"Access to electricity, urban (% of urban population)",100.0
Morocco,"Estimates of Informal Output, percentage of official gross domestic product (GDP)",29.64
Morocco,Tax Burden,68.0
Morocco,Percent of firms competing against unregistered or informal firms,47.3
Morocco,"Population Using at least Basic Drinking-Water Services, rural, percent",65.59
Morocco,Gender Development Index,0.85
Morocco,"Rural Population, total",13261620.0
Morocco,External Peace Score,4.9
Morocco,"Rule of Law Index, percentile rank",44.23
Morocco,"Chemicals Manufacturing, percent of value added",16.25
Morocco,Economic Inequality Score,70.1
Morocco,CSO participatory environment,0.93
Morocco,"Change in Human Hazard & Exposure to conflict -SSP3, RCP 8.5 (2050)",2.3
Morocco,Multidimensional Poverty Incidence,7.9
Morocco,Unemployment rate,9.2
Morocco,Percent of firms choosing practices of the informal sector as their biggest obstacle,9.1
Morocco,Influence and Impact of External Actors in State Functioning,4.9
Morocco,Government Response Stringency Index,32.34
Morocco,Refugee population by country or territory of asylum,7907.0
Morocco,Security Apparatus Score,4.6
Morocco,"Total Government Fiscal Response during the COVID-19 Pandemic, USD",995421063.0
Morocco,"Percent change in Gross Domestic Product, pre-COVID-19 baseline",4.53
Morocco,Climate Vulnerability Ranking,56.0
Morocco,"Employed Covered in the Event of Work Injury, percent",39.0
Morocco,"Government Effectiveness Index, percentile rank",50.96
Morocco,Percent of firms formally registered when they started operations in the country,96.9
Morocco,"Carbon dioxide emissions production per capita, tonnes",1.96
Morocco,"Climate Change-related change in death rates per 100,000 population (RCP4.5 SSP3)",-15.03
Morocco,"Internet users, total (% of population)",88.13
Morocco,Voice and Accountability Index,-0.61
Morocco,Share of female business owners of new LLCs,15.91
Morocco,Gini Index,39.5
Morocco,"Material footprint per capita, tonnes",6.8
Morocco,"Poverty headcount ratio at $3.65 a day (2017 PPP), % of population",9.8
Morocco,"Population, total",38211459.0
Morocco,"Greenhouse Gas (GHG) emissions, MtCO2e",86.1
Morocco,"Population ages 65 and above, % of total population",7.72
Morocco,Factionalized Elites Score,6.6
Morocco,Planetary pressures adjusted Human Development Index,0.67
Morocco,Air pollution Deaths Attributed to Fossil Fuels,2959.0
Morocco,Coefficient of human inequality,26.11
Morocco,"Population living in slums, % of urban population",10.85
Morocco,"Labour Force Participation Rate, female",19.8
Morocco,"Government Net Lending/Borrowing, percent of Gross Domestic Product, pre-COVID-19 baseline",-3.02
Morocco,Gender Inequality Index,0.44
Morocco,"Employment in industry, % of total employment",22.79
Morocco,"Access to electricity, rural (% of rural population)",100.0
Morocco,Household air pollution from solid fuels,0.03
Morocco,"Renewable Internal Freshwater Resources per Capita, cubic meters",790.43
Morocco,"Labour Force Participation Rate, male",69.6
Morocco,"Inequality-adjusted Human Development Index, difference from non-adjusted HDI value",27.22
Morocco,"Gross National Income Per Capita, male (2017 PPP$)",12875.96
Morocco,"Freshwater withdrawal, proportion of available freshwater resources",50.75
Morocco,Group Divisions in Society Score,8.6
Morocco,Refugees and IDPs Score,5.0
Morocco,Forest area (% of land area),12.89
Morocco,"Unemployment rate, pre-COVID-19 baseline",8.1
Morocco,"Gross Domestic Product (GDP), percent change",3.36
Morocco,Share of female directors of new LLCs,12.31
Morocco,LGBTQ+ Equality Index,23.0
Morocco,Prisoners: Population size estimate,88900.0
Morocco,Human Flight and Brain Drain Score,7.4
Morocco,"Inflation, percent change",2.0
Morocco,Net debt as percent of GDP,67.73
Morocco,"Population Using at least Basic Sanitation Services, urban, percent",87.52
Morocco,"Access to water services, percent of population",74.82
Morocco,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",0.1
Morocco,Labor Freedom,48.6
Morocco,Government Integrity,33.9
Morocco,Investment Freedom,65.0
Morocco,Property Rights,57.6
Morocco,Financial Freedom,70.0
Morocco,"Change in absolute number of people exposed to Floods - SSP3, RCP 8.5 (2050)",-560969.29
Morocco,Trade Freedom,67.4
Morocco,Share of female sole proprietors,41.0
Morocco,Monetary Freedom,71.1
Morocco,Gross National Income Per Capita (2017 PPP$),7954.52
Morocco,"Poverty headcount ratio at $6.85 a day (2017 PPP), % of population",42.1
Morocco,"Planetary pressures adjusted Human Development Index, differnece from non-adjusted HDI value",3.72
Morocco,Government net lending/borrowing as percent of GDP,-2.7
Morocco,Climate Change Readiness Ranking,87.0
Morocco,"Employment in agriculture, % of total employment",34.56
Morocco,"Gross National Income Per Capita, female (2017 PPP$)",2967.81
Morocco,Judicial Effectiveness,32.9
Morocco,Extent of Monopoly on Use of Force,8.0
Morocco,"Employment in services, % of total employment",42.65
Morocco,Access to clean fuels and technologies for cooking (% of population),98.1
Morocco,"Population Using at least Basic Drinking-Water Services, urban, percent",98.76
Morocco,"Urban Population, total",24196351.0
Morocco,"Forest Area within Legally Established Protected Areas, percentage of total forest area",4.58
Morocco,"Gross Domestic Product per capita, purchasing power parity (current international USD)",9547.66
Morocco,"Change in absolute number of people exposed to coastal floods - SSP3, RCP 8.5 (2050)",41381.44
Morocco,Climate Change Readiness Score,0.43
Morocco,Ambient particulate matter pollution exposure,35.05
Morocco,"Ores and metals exports, percent of merchandise exports",5.85
Morocco,Coverage of protected areas in relation to marine areas,55.64
Morocco,Number of years firm operated without formal registration,0.2
Morocco,Share of Parliament Seats Held by Men,78.64
Morocco,"Net debt as percent of Gross Domestic Product (GDP),  pre-COVID-19 baseline",59.75
Morocco,Score of adoption and implementation of national disaster risk reduction (DRR) strategies in line with the Sendai Framework,0.75
Morocco,"Gross Domestic Product (GDP) per capita, percent change",2.46
Morocco,Inequality in income,25.92
Morocco,"Inflation, percent change pre-COVID-19 baseline",2.0
Morocco,Consumption of controlled substance (zero-filled) - Chemical: Hydrochlorofluorocarbons (HCFCs),17.62
Morocco,Consumption of controlled substance (zero-filled) - Chemical: Total,17.62
Morocco,Share of Parliament Seats Held by Women,21.36
Morocco,Business Freedom,68.5
Morocco,Climate Risk Index Ranking,106.0
Morocco,"Poverty headcount ratio at $2.15 a day (2017 PPP), % of population",1.4
Morocco,Medical Waste (tons per year),21000.0
Morocco,"Renewable energy consumption, percent of total final energy consumption",10.69
Morocco,"Natural Capital, USD per capita",5672.0
Morocco,Human development index (HDI),0.698
Morocco,Terrestrial protected areas (% of total land area),2.2
Morocco,"Population Using at least Basic Drinking-Water Services, total, percent",87.02
Morocco,"Forest Area with a Long-Term Management Plan, percentage of total forest area",61.57
Mozambique,"Change in absolute number of people exposed to malaria and dengue -SSP3, RCP 8.5 (2050)",27918005.72
Mozambique,"Population living in slums, % of urban population",54.96
Mozambique,Share of female business owners of new LLCs,43.08
Mozambique,"Employment in services, % of total employment",20.46
Mozambique,"Share of Informal employment by status in employment (%), Not classified",100.0
Mozambique,"Share of Informal employment by sex and age (%), Male, 25 and above",91.4
Mozambique,Strength of legal rights index (0=weak to 12=strong),1.0
Mozambique,"Share of Employment outside the Formal Sector by sex (%), Female",96.2
Mozambique,Gross National Income Per Capita (2017 PPP$),1219.24
Mozambique,"Share of Informal employment by status in employment (%), Self-employed",99.4
Mozambique,"Informal employment age (thousands), 15-24",2497.72
Mozambique,"Share of Informal employment by economic activity (%), Non-agriculture",86.7
Mozambique,Climate Change Readiness Ranking,172.0
Mozambique,"Employment outside the Formal Sector by sex (thousands), Male",4076.76
Mozambique,"Gross Domestic Product per capita, purchasing power parity (current international USD)",1477.35
Mozambique,"Change in poverty gap due to out-of-pocket health spending ($ 2011 PPP), $1.90 poverty line",0.01
Mozambique,"Children/Households Receiving Child/Family Cash Benefits, percent",0.1
Mozambique,Public Sector Management and Institutions Index,3.0
Mozambique,"Change in poverty gap due to out-of-pocket health spending ($ 2011 PPP), $3.20 poverty line",0.01
Mozambique,LGBTQ+ Equality Index,57.0
Mozambique,Climate Risks Index Score,25.83
Mozambique,"Share of Informal employment age (%), 15 and above",95.7
Mozambique,"Informal employment by sex and age (thousands), Female, 15 and above",5087.92
Mozambique,"Renewable Internal Freshwater Resources per Capita, cubic meters",3216.99
Mozambique,"Employed Covered in the Event of Work Injury, percent",6.8
Mozambique,"Informal employment by sex (thousands), Female",5087.92
Mozambique,Share of Parliament Seats Held by Women,42.4
Mozambique,"Informal employment by sex and age (thousands), Female, 25 and above",3754.35
Mozambique,"Share of Employment outside the Formal Sector by sex and age (%), Male, 15 and above",87.5
Mozambique,"Employment outside the Formal Sector by sex and status in employment (thousands), Total, Employees",584.0
Mozambique,"Planetary pressures adjusted Human Development Index, differnece from non-adjusted HDI value",1.08
Mozambique,"Share of Informal employment by sex and status in employment (%), Female, Employees",75.8
Mozambique,"Informal employment by sex and status in employment (thousands), Male, Employees",721.67
Mozambique,"Change in absolute number of people exposed to drought - SSP3, RCP 8.5 (2050)",4449756.25
Mozambique,Inequality in income,54.41
Mozambique,"Informal employment by sex and status in employment (thousands), Male, Not classified",115.96
Mozambique,"Rule of Law Index, percentile rank",15.87
Mozambique,Rule of Law Index,-1.04
Mozambique,"Mothers with newborns receiving maternity benefits, Females",0.3
Mozambique,Fragile States Index,31.4
Mozambique,Factionalized Elites Score,6.3
Mozambique,"Share of Employment outside the Formal Sector by economic activity (%), Agriculture",99.1
Mozambique,"Share of Informal employment by sex and status in employment (%), Male, Employees",70.1
Mozambique,Fiscal Health,47.0
Mozambique,"Share of Employment outside the Formal Sector by sex and age (%), Female, 15-24",98.1
Mozambique,"Internet users, total (% of population)",16.5
Mozambique,"Share of Employment outside the Formal Sector by age (%), 15 and above",92.1
Mozambique,Gender Inequality Index,0.48
Mozambique,Proportion of local governments that adopt and implement local disaster risk reduction (DRR) strategies in line with national disaster risk reduction strategies (%),100.0
Mozambique,Trade Freedom,70.6
Mozambique,Monetary Freedom,71.9
Mozambique,Business Freedom,36.3
Mozambique,"Ores and metals exports, percent of merchandise exports",30.59
Mozambique,Investment Freedom,40.0
Mozambique,"Share of Informal employment by sex and economic activity (%), Male, Non-agriculture",83.9
Mozambique,"Share of Informal employment by sex and age (%), Female, 25 and above",98.2
Mozambique,Financial Freedom,50.0
Mozambique,Labor Freedom,47.7
Mozambique,Multidimensional Poverty Incidence,71.2
Mozambique,"Access to internet, percent of population",17.37
